
Host: Maxs-Air

Timers On : Sun Jul  4 13:32:14 2021
Timers Off: Sun Jul  4 13:32:20 2021

Wall Time:        5.68 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| DFH: compute_JK()                 :      0.117u      0.000s      0.014w     26 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     26 calls
| | DFH: compute_J                  :      0.033u      0.000s      0.002w     26 calls
| | DFH: compute_K                  :      0.033u      0.000s      0.012w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     26 calls

**************************************************************************************

Host: Maxs-MacBook-Air.local

Timers On : Tue Jul  6 02:31:28 2021
Timers Off: Tue Jul  6 02:31:31 2021

Wall Time:        2.61 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: Maxs-MacBook-Air.local

Timers On : Tue Jul  6 02:32:45 2021
Timers Off: Tue Jul  6 02:32:50 2021

Wall Time:        5.26 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.100u      0.000s      0.030w     10 calls
Libint2ERI::Libint2ERI              :      0.367u      0.017s      0.074w    164 calls
DFH: initialize()                   :      0.650u      0.083s      0.122w     10 calls
DFH: AO Construction                :      0.067u      0.000s      0.008w     10 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.005w     10 calls
HF: Form core H                     :      0.133u      0.000s      0.020w      8 calls
HF: Form S/X                        :      0.017u      0.000s      0.001w      8 calls
HF: Guess                           :      0.650u      0.033s      0.113w      8 calls
SAD Guess                           :      0.650u      0.033s      0.109w      6 calls
HF: Form G                          :      0.117u      0.017s      0.018w     80 calls
JK: D                               :      0.000u      0.000s      0.001w    104 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w    104 calls
JK: JK                              :      0.267u      0.000s      0.039w    104 calls
DFH: compute_JK()                   :      0.267u      0.000s      0.039w    104 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    104 calls
DFH: compute_J                      :      0.000u      0.000s      0.004w    104 calls
DFH: compute_K                      :      0.200u      0.000s      0.032w    104 calls
JK: AO2USO                          :      0.033u      0.017s      0.002w    104 calls
HF: Form F                          :      0.000u      0.000s      0.001w     80 calls
HF: Form D                          :      0.000u      0.000s      0.000w     80 calls
HF: DIIS                            :      0.150u      0.000s      0.031w     74 calls
DIISManager::add_entry              :      0.017u      0.000s      0.003w     72 calls
DIISManager::extrapolate            :      0.017u      0.000s      0.003w     72 calls
bMatrix setup                       :      0.000u      0.000s      0.001w     72 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.001w     72 calls
New vector                          :      0.000u      0.000s      0.001w     72 calls
HF: Form C                          :      0.017u      0.000s      0.003w     74 calls
Grad: V T Perturb                   :      3.483u      0.217s      0.564w      5 calls
Grad: S                             :      0.017u      0.000s      0.000w      5 calls
Grad: JK                            :      0.567u      0.017s      0.105w      5 calls
JKGrad: Amn                         :      0.150u      0.017s      0.028w      5 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                          :      0.150u      0.000s      0.024w      5 calls
JKGrad: UV                          :      0.000u      0.000s      0.001w      5 calls
JKGrad: ABx                         :      0.083u      0.000s      0.006w      5 calls
JKGrad: Amnx                        :      0.167u      0.000s      0.038w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls
Hess: XC                            :      0.000u      0.000s      0.000w      2 calls
Hess: V                             :      2.167u      0.283s      0.395w      2 calls
Hess: T                             :      0.000u      0.000s      0.001w      2 calls
Hess: S                             :      0.000u      0.000s      0.000w      2 calls
Hess: JK                            :      1.533u      0.050s      0.249w      2 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.100u      0.000s      0.030w     10 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.020w     10 calls
DFH: initialize()                   :      0.650u      0.083s      0.122w     10 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.017s      0.010w     50 calls
| DFH: AO Construction              :      0.067u      0.000s      0.008w     10 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.005w     10 calls
HF: Form core H                     :      0.133u      0.000s      0.020w      8 calls
HF: Form S/X                        :      0.017u      0.000s      0.001w      8 calls
HF: Guess                           :      0.650u      0.033s      0.113w      8 calls
| SAD Guess                         :      0.650u      0.033s      0.109w      6 calls
HF: Form G                          :      0.117u      0.017s      0.018w     80 calls
| JK: D                             :      0.000u      0.000s      0.000w     80 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     80 calls
| JK: JK                            :      0.067u      0.000s      0.014w     80 calls
| | DFH: compute_JK()               :      0.067u      0.000s      0.014w     80 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     80 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w     80 calls
| | | DFH: compute_K                :      0.017u      0.000s      0.011w     80 calls
| JK: AO2USO                        :      0.033u      0.017s      0.001w     80 calls
HF: Form F                          :      0.000u      0.000s      0.001w     80 calls
HF: Form D                          :      0.000u      0.000s      0.000w     80 calls
HF: DIIS                            :      0.150u      0.000s      0.031w     74 calls
| DIISManager::add_entry            :      0.017u      0.000s      0.003w     72 calls
| DIISManager::extrapolate          :      0.017u      0.000s      0.003w     72 calls
| | bMatrix setup                   :      0.000u      0.000s      0.001w     72 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.001w     72 calls
| | New vector                      :      0.000u      0.000s      0.001w     72 calls
HF: Form C                          :      0.017u      0.000s      0.003w     74 calls
Grad: V T Perturb                   :      3.483u      0.217s      0.564w      5 calls
Grad: S                             :      0.017u      0.000s      0.000w      5 calls
Grad: JK                            :      0.567u      0.017s      0.105w      5 calls
| JKGrad: Amn                       :      0.150u      0.017s      0.028w      5 calls
| | Libint2ERI::Libint2ERI          :      0.100u      0.000s      0.018w     20 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      5 calls
| JKGrad: AB                        :      0.150u      0.000s      0.024w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     20 calls
| JKGrad: UV                        :      0.000u      0.000s      0.001w      5 calls
| JKGrad: ABx                       :      0.083u      0.000s      0.006w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     20 calls
| JKGrad: Amnx                      :      0.167u      0.000s      0.038w      5 calls
| | Libint2ERI::Libint2ERI          :      0.100u      0.000s      0.019w     20 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls
Hess: XC                            :      0.000u      0.000s      0.000w      2 calls
Hess: V                             :      2.167u      0.283s      0.395w      2 calls
Hess: T                             :      0.000u      0.000s      0.001w      2 calls
Hess: S                             :      0.000u      0.000s      0.000w      2 calls
Hess: JK                            :      1.533u      0.050s      0.249w      2 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.003w     12 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.002w     12 calls
