,dipder,om,IR_Intensity
0,[-5.19853556e-06  1.72710988e-01  0.00000000e+00],(721.0038933567802+0j),29.079782542362196
1,[-0.06571617  0.00022672  0.        ],(1044.7808928788413+0j),4.210182461843315
2,[-0.0001885   0.00043522 -0.06595826],(1046.2168463269868+0j),4.241427283818375
3,[-3.29767221e-05 -1.39260884e-01  0.00000000e+00],(1413.9496279499226+0j),18.90643034124569
4,[ 0.07871856 -0.00014937  0.        ],(1510.3410031073145+0j),6.040975038914129
5,[4.06299087e-05 8.56359659e-05 7.86999910e-02],(1511.3533105029621+0j),6.03811267426681
6,[ 1.61683973e-05 -1.53025988e-01  0.00000000e+00],(3095.753545931611+0j),22.828722403865342
7,[-0.08645291  0.00114405  0.        ],(3195.425004312229+0j),7.287633863007202
8,[-0.00096717  0.00131735 -0.08729872],(3195.43258097662+0j),7.432230759780234
