,dipder,om,IR_Intensity
0,[-4.96074871e-06 -8.33707145e+00  0.00000000e+00],(757.299284928741+0j),67760.75929835146
1,[-9.08298133e-06 -8.55733724e+00 -4.77715016e-02],(1067.3582456132683+0j),71390.7667728279
2,[-0.04777017 -8.55733739  0.        ],(1067.402098429663+0j),71390.76915645807
3,[-4.98522343e-06 -8.73623212e+00  0.00000000e+00],(1443.5556634033685+0j),74404.55894594202
4,[ 0.06566818 -8.55782776  0.        ],(1524.4364662285166+0j),71400.9304389091
5,[ 1.11697887e-04 -8.55782730e+00  6.57831026e-02],(1524.4824903510237+0j),71400.93749683008
6,[ 8.05518163e-07 -8.74603377e+00  0.00000000e+00],(3098.7940503467385+0j),74571.60959739659
7,[-9.22609646e-04 -8.55648658e+00 -1.10123276e-01],(3200.586589390793+0j),71386.17307992998
8,[-0.10920789 -8.55649687  0.        ],(3200.731046724617+0j),71386.14816272962
