,dipder,om,IR_Intensity
0,[-5.72203826e-06 -6.15504114e+00  0.00000000e+00],(785.3583343285844+0j),36932.87679031696
1,[-0.04883889 -6.36964662  0.        ],(1086.1602061494816+0j),39555.54986172074
2,[-7.57515645e-06 -6.36964562e+00 -4.88345911e-02],(1086.1612518904853+0j),39555.53707461454
3,[ 6.99340031e-06 -6.54478398e+00  0.00000000e+00],(1469.1790052384933+0j),41758.20771159949
4,[ 0.0669018  -6.37009498  0.        ],(1546.9930973913717+0j),39563.156492247545
5,[ 1.09837893e-04 -6.37012912e+00  6.70238633e-02],(1546.9976754171428+0j),39563.596501259155
6,[ 3.85615767e-06 -6.56044840e+00  0.00000000e+00],(3151.3741639381997+0j),41958.33686055663
7,[-9.33935881e-04 -6.36877673e+00 -1.10747632e-01],(3263.2039934866875+0j),39554.37971766248
8,[-0.10982565 -6.36879265  0.        ],(3263.21186630242+0j),39554.378261377926
