,dipder,om,IR_Intensity
0,[0.         0.         0.33128267],(1826.6144828177262+0j),106.9913439680241
1,[ 0.          0.         -0.13767832],(4070.30674819439+0j),18.479163585504192
2,[ 0.          0.24430354 -0.00028698],(4188.622776860448+0j),58.18503759009506
