,dipder,om,IR_Intensity
0,[2.13096511e-07 2.29811635e-01 0.00000000e+00],(768.5763958930348+0j),51.48672176155651
1,[ 0.0003607   0.00352548 -0.06799582],(1131.575151820379+0j),4.519535062377086
2,[-0.06801045  0.00352675 -0.00034577],(1131.5751602033583+0j),4.521473570360003
3,[-1.68036230e-07 -1.76741667e-01  0.00000000e+00],(1527.2334953424765+0j),30.452931702643355
4,[0.06914849 0.00319506 0.00014301],(1617.7794367885906+0j),4.671374648910065
5,[2.59092100e-05 3.19481877e-03 6.93160246e-02],(1617.7794563102495+0j),4.693968651413975
6,[-2.39238146e-07 -1.97654349e-01  0.00000000e+00],(3245.9291955981766+0j),38.08587737074693
7,[-1.19845478e-01  4.45717994e-03  2.19521889e-06],(3348.090629641692+0j),14.021510831195153
8,[-0.00083139  0.00445751 -0.12067473],(3348.0907053865835+0j),14.216629185695448
